number,value,state,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_is_unbalance,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,datetime_start,datetime_complete,duration
10,0.7848759485132094,COMPLETE,0.6985785701390531,5,goss,0.6997028735298274,False,0.6735137003717349,2.590205908507788,0.019923494218659573,5,116,1.7173007665607232,111,0.7823763436427318,,,,2025-08-28 21:22:55.401572,2025-08-28 21:26:22.271711,0 days 00:03:26.870139
11,0.7850702549854056,COMPLETE,0.7877978160716704,5,goss,0.7883215960338052,False,7.347305125017701,0.04195893963379915,0.009912631665856623,7,107,1.6642543209552993,208,0.7850407636850341,,,,2025-08-28 21:26:22.420242,2025-08-28 21:32:51.007433,0 days 00:06:28.587191
12,0.7254669136419667,PRUNED,0.5157163028953773,10,goss,0.8075708105564406,False,0.06953330183008696,0.21632392287253688,0.0050628651265486975,4,176,1.3228342253761203,215,0.7254669136419667,,,,2025-08-28 21:32:51.074957,2025-08-28 21:33:00.708385,0 days 00:00:09.633428
13,0.779184418157861,PRUNED,0.5505482672866358,9,goss,0.7465075960415052,False,9.321925439247455,0.005095756446346847,0.02544187130270379,9,52,1.1707648429914137,55,0.7630155146642613,0.779184418157861,,,2025-08-28 21:33:00.715964,2025-08-28 21:33:41.464775,0 days 00:00:40.748811
14,0.7829352110432621,COMPLETE,0.8747114000685193,6,goss,0.9089654963789474,False,1.319634201096795,0.00011716334902369153,0.022760475057055633,10,126,1.918468584000995,103,0.7796264564770905,0.7825410968247124,,,2025-08-28 21:33:41.475633,2025-08-28 21:36:12.075239,0 days 00:02:30.599606
15,0.756341312824576,PRUNED,0.7942787992009358,10,gbdt,0.8145209237770684,False,2.227659914651259,0.009262221403330438,0.010939466660450621,9,65,1.5842584476996568,196,0.756341312824576,,,,2025-08-28 21:36:12.118994,2025-08-28 21:36:42.015426,0 days 00:00:29.896432
16,0.7632729037712122,PRUNED,0.8743034931952697,4,goss,0.8157235036252718,False,0.06654556292813694,0.9609681108907753,0.0056007634924198375,11,66,0.8863680616114797,175,0.7632729037712122,,,,2025-08-28 21:36:42.023547,2025-08-28 21:38:12.691781,0 days 00:01:30.668234
17,0.757646121099908,PRUNED,0.8217234914442662,3,goss,0.8445781661741466,True,0.0828202202564693,0.006699570597000189,0.013417568083373984,7,81,1.6256661388252942,224,0.757646121099908,,,,2025-08-28 21:38:12.702912,2025-08-28 21:38:33.989588,0 days 00:00:21.286676
18,0.7487397684975239,PRUNED,0.807949469275185,6,goss,0.515925090204722,False,2.9698224829355415,0.0009110647436864807,0.019175383056282434,4,78,0.7470756417345059,204,0.7487397684975239,,,,2025-08-28 21:38:34.003839,2025-08-28 21:38:43.977693,0 days 00:00:09.973854
19,0.7857072954282915,COMPLETE,0.7350689403704214,10,goss,0.7952049783209337,False,0.040516212864839,7.361294020236796,0.005691075315294768,0,46,1.8423669935855223,83,0.7854122015835181,,,,2025-08-28 21:38:43.985417,2025-08-28 21:51:10.896683,0 days 00:12:26.911266
20,0.7834509410363162,PRUNED,0.738786880636989,9,goss,0.8480966564641922,False,0.03155771866799473,4.338882878085566,0.01091069145112193,4,37,1.646561857366244,38,0.7834509410363162,,,,2025-08-28 21:51:10.973291,2025-08-28 21:54:39.927953,0 days 00:03:28.954662
21,0.7730080827979019,PRUNED,0.6414608175870251,8,goss,0.8880145366542169,False,0.001407807401811584,1.5974383661773803,0.010866140702472318,-1,80,1.5362981802292204,163,0.7730080827979019,,,,2025-08-28 21:54:40.084384,2025-08-28 21:56:05.735029,0 days 00:01:25.650645
22,0.7504292275236706,PRUNED,0.7068308681521374,9,gbdt,0.8526220456137159,True,0.02157977325069195,0.01329106328158916,0.005638161871484328,2,84,1.881028174034645,52,0.7504292275236706,,,,2025-08-28 21:56:05.744997,2025-08-28 21:56:53.377483,0 days 00:00:47.632486
23,0.748358941337259,PRUNED,0.7112864690112288,10,gbdt,0.705234317076398,False,0.0018751374991910973,0.3965927387255463,0.005281870967316492,-1,28,1.4126018125234276,84,0.748358941337259,,,,2025-08-28 21:56:53.414162,2025-08-28 21:57:14.476478,0 days 00:00:21.062316
24,0.7477267510410484,PRUNED,0.7437709443617335,3,gbdt,0.7835115566820432,False,4.665537133937771,0.009821044195733146,0.006583584887921436,7,140,1.941654784982955,219,0.7477267510410484,,,,2025-08-28 21:57:14.501202,2025-08-28 21:57:32.964618,0 days 00:00:18.463416
25,0.7055941511543931,PRUNED,0.6066464031147696,9,goss,0.632735918148076,False,2.6510142615345003,0.6029495931307317,0.009690284559774913,1,106,1.3891553543873107,67,0.7055941511543931,,,,2025-08-28 21:57:32.988192,2025-08-28 21:57:38.294854,0 days 00:00:05.306662
26,0.7547664249622053,PRUNED,0.6801493394436502,10,goss,0.940326830939193,False,0.3002227111235724,0.004786736082324376,0.018835295331041658,6,150,1.9123577124792834,139,0.7547664249622053,,,,2025-08-28 21:57:38.303089,2025-08-28 21:57:53.981135,0 days 00:00:15.678046
27,0.7769355560217116,PRUNED,0.8064736837103182,4,goss,0.7095387802348325,False,0.5648594046348908,2.1794389804905516,0.014699844169845797,11,197,0.9821005314741834,154,0.7609147662062712,0.7769355560217116,,,2025-08-28 21:57:53.989325,2025-08-28 21:59:02.603255,0 days 00:01:08.613930
28,0.7753057023123734,PRUNED,0.5847038970043723,9,goss,0.8200181755432556,True,1.6124252697684986,8.299531668005281,0.010856490439452277,2,117,1.1642681182061698,120,0.7753057023123734,,,,2025-08-28 21:59:02.614477,2025-08-28 22:01:55.624601,0 days 00:02:53.010124
29,0.7424825185213664,PRUNED,0.6152748549721095,10,goss,0.7297734742564347,False,0.2654299742914548,6.329479390725135,0.006095943978831644,6,78,1.9229010723806763,83,0.7424825185213664,,,,2025-08-28 22:01:55.660959,2025-08-28 22:02:11.965614,0 days 00:00:16.304655
30,0.7726671949597665,PRUNED,0.6777247430424498,9,goss,0.7234674977799366,True,0.04316226947114326,0.002229330048558288,0.011114816393603066,-1,65,1.8463352228439456,88,0.7726671949597665,,,,2025-08-28 22:02:11.993366,2025-08-28 22:03:12.404343,0 days 00:01:00.410977
