feature,gain,split
ENTRANCES_AVG,7165.926034927368,513
NONLIVINGAREA_MEDI,7104.278313159943,552
BUREAU_BB_STATUS_1_SUM,6969.099970817566,481
AMT_REQ_CREDIT_BUREAU_QRT,6940.3917927742,411
OBS_60_CNT_SOCIAL_CIRCLE,6822.197121143341,521
REG_CITY_NOT_LIVE_CITY,6417.5839467048645,316
CC_SK_DPD_MEAN,6085.726665496826,481
WALLSMATERIAL_MODE,5548.221390247345,391
FLOORSMAX_AVG,5425.940323829651,331
LIVINGAPARTMENTS_MEDI,5421.206700325012,407
NAME_HOUSING_TYPE,5000.525890350342,389
POS_CNT_INSTALMENT_FUTURE_MIN,4944.945859909058,345
YEARS_BUILD_MEDI,4880.023058414459,368
REGION_RATING_CLIENT,4642.9354429244995,199
FLOORSMIN_AVG,4592.261606216431,369
NONLIVINGAPARTMENTS_AVG,4503.451435089111,362
ENTRANCES_MEDI,3737.1947650909424,278
NAME_TYPE_SUITE,3707.0884466171265,311
ENTRANCES_MODE,3576.5191321372986,267
CNT_FAM_MEMBERS,3357.2920999526978,253
FLAG_OWN_CAR,3031.8165249824524,103
ELEVATORS_AVG,2794.794548511505,187
FLOORSMIN_MEDI,2389.0073256492615,192
FLOORSMIN_MODE,2219.671211719513,181
NONLIVINGAPARTMENTS_MODE,2082.843183517456,165
FLAG_PHONE,1964.8238043785095,156
FLOORSMAX_MEDI,1872.9963154792786,111
CNT_CHILDREN,1673.6006808280945,137
CC_SK_DPD_MAX,1625.8455228805542,147
NONLIVINGAPARTMENTS_MEDI,1469.7909879684448,120
FONDKAPREMONT_MODE,1316.1126346588135,121
FLOORSMAX_MODE,1311.2065558433533,88
ELEVATORS_MEDI,1070.217936515808,70
FLAG_OWN_REALTY,925.9217014312744,83
AMT_REQ_CREDIT_BUREAU_MON,919.550060749054,74
ELEVATORS_MODE,783.5670289993286,55
BUREAU_BB_STATUS_2_SUM,729.6695857048035,66
LIVE_CITY_NOT_WORK_CITY,662.6677875518799,62
BUREAU_BB_STATUS_4_SUM,611.6911311149597,51
HOUSETYPE_MODE,440.5410108566284,37
BUREAU_BB_STATUS_5_SUM,385.9744267463684,29
