number,value,state,params_bagging_fraction,params_bagging_freq,params_boosting_type,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves,params_scale_pos_weight,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,datetime_start,datetime_complete,duration
15,0.22013719574862614,PRUNED,0.5793071773679044,1,goss,0.6899973123566563,0.0015178887672602527,3.897577293768792e-08,0.012057372094353773,14,63,0.08384096529778857,74,62.555393498430064,0.22013719574862614,,,2025-09-03 16:01:12.178602,2025-09-03 16:01:35.273651,0 days 00:00:23.095049
16,0.2355783446650918,PRUNED,0.5130706671077788,1,goss,0.7178306033482776,1.9436113257701704e-06,2.2571172680014738e-06,0.028394366052583334,13,248,0.008749912172587096,74,38.05507170849103,0.2355783446650918,,,2025-09-03 16:01:35.282215,2025-09-03 16:01:56.604423,0 days 00:00:21.322208
17,0.2706320769185243,COMPLETE,0.5107985378109029,0,gbdt,0.5067234094451344,0.0013302620047410596,5.419825638438726e-08,0.011515344526627135,6,162,0.39654821327524276,138,35.676538948993176,0.2652911599734304,,,2025-09-03 16:01:56.612603,2025-09-03 16:09:03.145063,0 days 00:07:06.532460
18,0.18837866610878434,PRUNED,0.5084228728876221,0,gbdt,0.6792099579367706,0.016380997361023518,5.7992144817810536e-08,0.005219746400758211,2,207,1.1516995074195973,108,133.74164526659206,0.18837866610878434,,,2025-09-03 16:09:03.280888,2025-09-03 16:09:11.424220,0 days 00:00:08.143332
19,0.25768939114617245,PRUNED,0.6941256565578572,0,goss,0.550584459490346,1.1100435079436423e-06,7.561727584073874e-06,0.011764636565573692,7,192,0.30171540134910085,231,11.608077069521284,0.24461449397270116,0.25768939114617245,,2025-09-03 16:09:11.432602,2025-09-03 16:10:06.153417,0 days 00:00:54.720815
20,0.2478811690734414,PRUNED,0.5610934034630285,0,gbdt,0.5660400053108566,0.00028134372299165155,5.428682401490494e-05,0.010581520542792341,8,100,0.10999216396153455,256,41.10724765209356,0.2478811690734414,,,2025-09-03 16:10:06.163294,2025-09-03 16:11:38.471600,0 days 00:01:32.308306
21,0.20606668473012152,PRUNED,0.6676509400408044,4,gbdt,0.697352465477013,7.368087164043839e-08,8.276176440492178e-05,0.010879486013210362,3,153,0.9054541453795194,53,44.79329970761086,0.20606668473012152,,,2025-09-03 16:11:38.483829,2025-09-03 16:11:47.736497,0 days 00:00:09.252668
22,0.23770740942773058,PRUNED,0.5413190072080434,0,goss,0.771429359019643,7.543784010723849e-05,1.939789528674488e-07,0.06609320855233324,3,175,0.49638878177171963,206,82.68141960667904,0.23770740942773058,,,2025-09-03 16:11:47.746164,2025-09-03 16:11:57.325773,0 days 00:00:09.579609
23,0.24688262831063423,PRUNED,0.6709443458073592,1,gbdt,0.5426270156800203,9.179915780984544e-05,2.59467005543796e-07,0.02071684494772487,8,172,0.16355814561013782,61,204.0118117081561,0.24688262831063423,,,2025-09-03 16:11:57.333690,2025-09-03 16:12:52.978109,0 days 00:00:55.644419
24,0.2178538422227867,PRUNED,0.761199595450076,1,goss,0.5600124782466809,1.8989061233288686e-06,0.00022292178413787668,0.0057437294357929715,12,121,0.4691980964675847,22,49.87687319919261,0.2178538422227867,,,2025-09-03 16:12:52.990069,2025-09-03 16:13:10.120609,0 days 00:00:17.130540
