feature,gain,split
BASEMENTAREA_MEDI,2297.2429904937744,39
COMMONAREA_MODE,2182.31489944458,41
YEARS_BUILD_AVG,2129.133312225342,35
FLAG_OWN_CAR,2124.1767978668213,14
NONLIVINGAREA_MEDI,1987.4178886413574,37
NAME_TYPE_SUITE,1973.8632926940918,38
FLOORSMAX_AVG,1885.1963138580322,25
FLOORSMAX_MODE,1828.0438041687012,16
BUREAU_BB_STATUS_1_SUM,1800.223789215088,30
ENTRANCES_AVG,1645.1843948364258,29
NONLIVINGAPARTMENTS_AVG,1605.3621006011963,30
YEARS_BUILD_MEDI,1543.4385147094727,24
LIVINGAPARTMENTS_AVG,1487.123893737793,26
CNT_FAM_MEMBERS,1472.97749710083,24
YEARS_BUILD_MODE,1467.7371864318848,23
ENTRANCES_MODE,1321.6772003173828,25
FLOORSMIN_AVG,1304.9862976074219,22
POS_CNT_INSTALMENT_FUTURE_MIN,1188.50239944458,21
CC_SK_DPD_MEAN,1130.2901096343994,21
LIVINGAPARTMENTS_MEDI,1091.9285049438477,19
FLOORSMAX_MEDI,1066.6155853271484,14
ENTRANCES_MEDI,989.8939018249512,16
FLAG_PHONE,947.7045059204102,17
FONDKAPREMONT_MODE,856.4359016418457,16
CNT_CHILDREN,838.1562004089355,18
ELEVATORS_MEDI,780.3031978607178,13
ELEVATORS_AVG,763.6963996887207,11
FLOORSMIN_MEDI,733.055004119873,11
NONLIVINGAPARTMENTS_MEDI,717.015302658081,13
CC_SK_DPD_MAX,688.1392974853516,13
REG_CITY_NOT_WORK_CITY,671.2341957092285,11
ELEVATORS_MODE,656.7675876617432,11
FLOORSMIN_MODE,614.9914932250977,11
AMT_REQ_CREDIT_BUREAU_MON,557.032600402832,10
NONLIVINGAPARTMENTS_MODE,474.8792037963867,10
FLAG_OWN_REALTY,427.37889862060547,7
AMT_REQ_CREDIT_BUREAU_WEEK,339.5202941894531,5
BUREAU_BB_STATUS_5_SUM,271.0425033569336,4
BUREAU_BB_STATUS_2_SUM,193.23559951782227,4
FLAG_DOCUMENT_8,168.1860008239746,3
BUREAU_BB_STATUS_4_SUM,152.40390014648438,3
LIVE_CITY_NOT_WORK_CITY,137.17700099945068,4
HOUSETYPE_MODE,133.0891990661621,3
REG_REGION_NOT_LIVE_REGION,116.05849838256836,2
LIVE_REGION_NOT_WORK_REGION,93.33700180053711,2
FLAG_EMAIL,80.73939895629883,2
FLAG_DOCUMENT_5,59.734100341796875,1
REG_REGION_NOT_WORK_REGION,53.4994010925293,1
FLAG_DOCUMENT_6,51.120601654052734,1
EMERGENCYSTATE_MODE,50.3203010559082,1
BUREAU_BB_STATUS_3_SUM,48.29759979248047,1
FLAG_EMP_PHONE,0.0,0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0,0
DOWNPAY_SHARE,0.0,0
AMT_REQ_CREDIT_BUREAU_DAY,0.0,0
